"Timestamp","Device","Severity","Message"
"2026-04-02T17:28:28.291998","45301JEKB00850","OK","Device connected."
"2026-04-02T17:31:35.415037","system","WARN","No ready devices selected."
"2026-04-02T17:31:45.473568","system","INFO","Starting de-provisioning for 1 device(s)..."
"2026-04-02T17:31:45.475071","45301JEKB00850","INFO","Pulling survey data..."
"2026-04-02T17:31:46.882873","45301JEKB00850","OK","Data pulled to C:\Users\expedicto.walugembe\Pictures\Quick share\45301JEKB00850_2026-04-02T17-31-45"
"2026-04-02T17:31:46.884381","system","INFO","De-provisioning complete."
"2026-04-02T17:31:46.926396","system","OK","Report saved: Logs\provisioning_2026-04-02T17-31-46.csv"
"2026-04-02T17:36:50.503211","system","INFO","Starting provisioning for 1 device(s)..."
"2026-04-02T17:36:50.504211","45301JEKB00850","INFO","Installing Spotify_9.1.32.2083_by_NibRut_no_ads.apk..."
"2026-04-02T17:37:04.010463","45301JEKB00850","OK","Installed Spotify_9.1.32.2083_by_NibRut_no_ads.apk"
"2026-04-02T17:37:04.010463","system","INFO","Provisioning complete."
